Date,Open,High,Low,Close,Volume,EMA1,EMA2,EMA3,MACD,signal_buy
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,,,,,0
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,108872000,,,,,0
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,,,,,0
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,170108400,,,,,0
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,,,,,0
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,121532000,,,,,0
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,,,,,0
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,,,,,0
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200,,,,,0
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400,,,,,0
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,110843200,,,,,0
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400,,,,,0
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000,,,,,0
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600,,,,,0
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,161940000,,,,,0
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000,,,,,0
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,216229200,,,,,0
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,126743200,,,,,0
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,199588400,,,,,0
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,173788400,,,,,0
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,136616400,,,,,0
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,118826800,,,,,0
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,105425600,,,,,0
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,117684000,,,,,0
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,109348800,,,,,0
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,94323200,,,,,0
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,113730400,,,,,0
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,94747600,,,,,0
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80113600,,,,,0
2020-02-18,78.83999633789062,79.9375,78.65249633789062,79.75,152531200,,,,,0
2020-02-19,80.0,81.14250183105469,80.0,80.90499877929688,93984000,,,,,0
2020-02-20,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,100566000,,,,,0
2020-02-21,79.65499877929688,80.11250305175781,77.625,78.26249694824219,129554000,,,,,0
2020-02-24,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,222195200,,,,0.10230353813892634,0
2020-02-25,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,230673600,,,,-0.47275603602372485,0
2020-02-26,71.63249969482422,74.47000122070312,71.625,73.1624984741211,198054800,,,,-0.826774006055345,0
2020-02-27,70.2750015258789,71.5,68.23999786376953,68.37999725341797,320605600,,,,-1.4762266553834422,0
2020-02-28,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,426510000,,,,-1.971424939082766,0
2020-03-02,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,341397200,,,,-1.8293843203128546,0
2020-03-03,75.9175033569336,76.0,71.44999694824219,72.33000183105469,319475600,,,,-1.8865103151779437,0
2020-03-04,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,219178400,,,,-1.6421334688990186,0
2020-03-05,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,187572800,,,,-1.6277963493667755,0
2020-03-06,70.5,72.70500183105469,70.30750274658203,72.25749969482422,226176800,,,,-1.6755918173731175,0
2020-03-09,65.9375,69.52249908447266,65.75,66.5425033569336,286744800,,,,-2.149840489433501,0
2020-03-10,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,285290000,,,,-2.114595881136566,0
2020-03-11,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,255598800,,,,-2.2605200259472866,0
2020-03-12,63.98500061035156,67.5,62.0,62.057498931884766,418474000,,,,-2.89153722924317,0
2020-03-13,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,370732000,,,,-2.7598664131099753,0
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,322423600,,,,-3.338416331795969,0
2020-03-17,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,324056000,,,,-3.541258511385905,0
2020-03-18,59.942501068115234,62.5,59.279998779296875,61.66749954223633,300233600,,,,-3.783271566746407,0
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,271857200,,,,-3.967461024537556,0
2020-03-20,61.79499816894531,62.95750045776367,57.0,57.310001373291016,401693200,,,,-4.376470169259321,0
2020-03-23,57.02000045776367,57.125,53.15250015258789,56.092498779296875,336752800,,,,-4.744167339496606,0
2020-03-24,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,287531200,,,,-4.529267009291168,0
2020-03-25,62.6875,64.5625,61.07500076293945,61.380001068115234,303602000,,,,-4.336404745555562,0
2020-03-26,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,252087200,,,,-3.8782203333272705,0
